sample,behavior_model,feature_group,feature_set,space,n,n_features,effective_features,neural_distance,rsa_spearman,p_perm_two_sided,n_perm,pair_count,mean_within_neural_distance,mean_between_neural_distance,between_minus_within,roi,window
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,vmPFC Peak 10s,standardized,398,1,1,euclidean,0.0232933349907398,0.099009900990099,100,79003,,,,cortical_vmPFC_proxy,rolling_peak_10s
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,vmPFC Peak 10s,standardized,210,1,1,euclidean,0.1001138165593147,0.0099009900990099,100,21945,1.0327542847533406,1.2109846908103103,0.1782304060569697,cortical_vmPFC_proxy,rolling_peak_10s
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,vmPFC Abs peak 10s,standardized,398,1,1,euclidean,0.0192847717553377,0.1881188118811881,100,79003,,,,cortical_vmPFC_proxy,rolling_abs_peak_10s
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,vmPFC Abs peak 10s,standardized,210,1,1,euclidean,0.0986252203583717,0.0099009900990099,100,21945,1.0206341529092386,1.199065872955464,0.1784317200462253,cortical_vmPFC_proxy,rolling_abs_peak_10s
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,Hippocampus Whole,standardized,398,1,1,euclidean,-0.014236262999475,0.3366336633663366,100,79003,,,,subcortical_hippocampus,whole
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,Hippocampus Whole,standardized,210,1,1,euclidean,0.0043994677253067,0.4158415841584158,100,21945,1.1170803772557607,1.1269936473297293,0.0099132700739685,subcortical_hippocampus,whole
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,Hippocampus 25-75%,standardized,398,1,1,euclidean,-0.0148634547367692,0.3168316831683168,100,79003,,,,subcortical_hippocampus,pct25_75
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,Hippocampus 25-75%,standardized,210,1,1,euclidean,0.0060799922794103,0.2178217821782178,100,21945,1.1109033461992357,1.1212880902145843,0.010384744015349,subcortical_hippocampus,pct25_75
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,Hippocampus 50-100%,standardized,398,1,1,euclidean,-0.0048991926014423,0.7326732673267327,100,79003,,,,subcortical_hippocampus,pct50_100
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,Hippocampus 50-100%,standardized,210,1,1,euclidean,0.0444986969232559,0.0099009900990099,100,21945,1.077307527381666,1.1525653959806537,0.0752578685989875,subcortical_hippocampus,pct50_100
